name,country,matches,innings,no,runs,highest,average,balls,strikerate,hunderd,fifty,duck,year
SC Ganguly,INDIA,23,22,0,813,127,36.95,1144,71.06,2,6,2,2001
JH Kallis,SA,22,22,4,812,113*,45.11,1096,74.08,3,2,0,1998
MS Atapattu,SL,26,25,3,812,124,36.9,1186,68.46,3,2,2,2003
SR Tendulkar,INDIA,21,21,1,812,141,40.6,1014,80.07,1,5,1,2004
PG Fulton,NZ,24,22,2,811,83,40.55,1075,75.44,0,6,1,2007
MD Crowe,NZ,20,20,1,810,104,42.63,1192,67.95,1,6,0,1990
DJ Cullinan,SA,21,20,2,810,89,45,1100,73.63,0,8,1,1997
AC Gilchrist,AUS,22,21,0,810,122,38.57,779,103.97,2,4,2,2006
V Sehwag,INDIA,20,19,1,810,146,45,593,136.59,3,2,0,2009
ME Waugh,AUS,16,13,3,809,173,80.9,933,86.7,4,2,1,2001
Ahmed Shehzad,PAK,21,21,0,809,124,38.52,1125,71.91,2,5,1,2013
Inzamam-ul-Haq,PAK,21,21,5,808,90*,50.5,1132,71.37,0,6,1,1993
A Symonds,AUS,26,21,8,808,107*,62.15,777,103.98,1,6,1,2007
GJ Bailey,AUS,27,25,3,808,112,36.72,1020,79.21,1,5,1,2016
BRM Taylor,ZIM,28,28,5,807,98,35.08,1099,73.43,0,5,1,2006
Tamim Iqbal,BDESH,26,26,0,807,129,31.03,1035,77.97,1,5,4,2008
BC Lara,WI,15,14,2,806,169,67.16,839,96.06,2,6,0,1995
SP Fleming,NZ,23,23,4,806,116*,42.42,1087,74.14,2,3,0,1998
AJ Strauss,ENG,14,14,0,806,154,57.57,840,95.95,2,6,0,2010
ADR Campbell,ZIM,26,26,2,805,102,33.54,1168,68.92,2,4,0,1998
HH Gibbs,SA,22,22,2,805,125,40.25,1091,73.78,2,4,1,1999
DR Martyn,AUS,25,23,6,805,95*,47.35,1063,75.72,0,7,2,2005
SPD Smith,AUS,19,17,2,805,105,53.66,935,86.09,2,5,0,2015
A Symonds,AUS,24,22,6,803,104*,50.18,850,94.47,1,5,4,2004
N Hussain,ENG,24,24,1,801,115,34.82,1119,71.58,1,5,1,2002
Ijaz Ahmed,PAK,25,24,2,799,132,36.31,819,97.55,3,3,2,1998
BB McCullum,NZ,33,28,6,799,96,36.31,790,101.13,0,5,2,2007
DC Boon,AUS,21,20,3,798,100,46.94,1203,66.33,2,4,1,1992
RT Ponting,AUS,23,23,1,798,164,36.27,896,89.06,2,6,2,2006
A Ranatunga,SL,22,22,4,796,102,44.22,1056,75.37,1,6,2,1998
JE Root,ENG,15,14,1,796,125,61.23,867,91.81,2,6,0,2016
BC Lara,WI,21,21,2,794,88*,41.78,1170,67.86,0,9,1,1992
GA Hick,ENG,21,21,4,794,126*,46.7,1053,75.4,3,4,3,1999
MA Taylor,AUS,22,22,0,792,105,36,1224,64.7,1,5,1,1996
LMP Simmons,WI,17,17,1,792,122,49.5,993,79.75,1,8,1,2011
DPMD Jayawardene,SL,32,31,3,791,77,28.25,1197,66.08,0,3,1,2002
RR Sarwan,WI,24,22,8,791,104*,56.5,984,80.38,1,6,1,2004
F du Plessis,SA,15,15,0,790,126,52.66,892,88.56,3,4,0,2014
AJ Finch,AUS,18,18,0,790,121,43.88,940,84.04,4,3,2,2014
MD Crowe,NZ,18,18,7,789,100*,71.72,1018,77.5,1,6,0,1992
A Jadeja,INDIA,32,30,7,789,71*,34.3,1022,77.2,0,4,2,1996
DM Bravo,WI,24,24,3,788,100*,37.52,1056,74.62,1,8,2,2013
MS Dhoni,INDIA,29,22,9,788,134,60.61,930,84.73,1,6,0,2017
MS Atapattu,SL,33,32,1,787,82,25.38,1358,57.95,0,7,1,1999
Shakib Al Hasan,BDESH,27,27,3,787,106,32.79,982,80.14,1,5,2,2010
Umar Akmal,PAK,29,23,4,785,91,41.31,870,90.22,0,6,1,2011
DPMD Jayawardene,SL,30,27,2,785,85,31.4,889,88.3,0,6,1,2012
GW Flower,ZIM,26,26,0,784,140,30.15,1144,68.53,1,2,2,1999
MG Bevan,AUS,31,21,9,784,84*,65.33,1180,66.44,0,6,1,2003
KP Pietersen,ENG,21,16,4,784,116,65.33,760,103.15,3,4,0,2005
Aftab Ahmed,BDESH,27,27,4,784,66,34.08,797,98.36,0,8,2,2006
MEK Hussey,AUS,27,22,8,784,109*,56,874,89.7,1,4,1,2006
SM Katich,AUS,22,22,2,783,107*,39.15,1215,64.44,1,5,1,2006
Yuvraj Singh,INDIA,23,21,1,783,131,39.15,816,95.95,2,5,1,2009
Mohammad Hafeez,PAK,20,20,1,782,103,41.15,929,84.17,2,5,3,2015
EJG Morgan,ENG,20,18,1,781,107,45.94,791,98.73,3,3,1,2017
SR Waugh,AUS,21,21,3,777,102*,43.16,1014,76.62,1,7,0,1996
MJ Clarke,AUS,19,19,5,777,111*,55.5,979,79.36,1,5,1,2010
Tamim Iqbal,BDESH,23,23,0,776,125,33.73,807,96.15,1,5,2,2010
Azhar Ali,PAK,17,17,0,775,102,45.58,920,84.23,2,3,0,2015
Yasir Hameed,PAK,25,25,0,773,102,30.92,1144,67.56,1,2,2,2004
AB de Villiers,SA,19,18,5,773,176,59.46,661,116.94,1,5,1,2017
A Flower,ZIM,26,26,2,772,95,32.16,1026,75.24,0,7,1,1998
SP Fleming,NZ,28,27,1,772,89,29.69,1168,66.09,0,6,1,2002
E Chigumbura,ZIM,27,26,4,772,117,35.09,945,81.69,2,1,1,2015
WJ Cronje,SA,23,21,6,771,94,51.4,909,84.81,0,6,1,1997
RT Ponting,AUS,22,22,1,771,106,36.71,933,82.63,1,6,2,2010
PR Stirling,IRE,17,17,0,771,177,45.35,851,90.59,1,5,0,2010
SR Watson,AUS,21,21,0,771,69,36.71,872,88.41,0,7,0,2010
JH Kallis,SA,18,18,5,770,139,59.23,986,78.09,3,4,2,2004
SK Raina,INDIA,34,27,5,770,89*,35,911,84.52,0,5,2,2013
KS Williamson,NZ,12,12,1,770,123,70,884,87.1,1,7,0,2014
Mushfiqur Rahim,BDESH,19,19,5,770,144,55,935,82.35,1,5,0,2018
M Azharuddin,INDIA,18,17,4,769,95*,59.15,920,83.58,0,8,0,1993
Mohammad Yousuf,PAK,27,25,4,768,107*,36.57,969,79.25,1,4,2,2004
AM Rahane,INDIA,24,24,0,768,111,32,945,81.26,2,4,2,2014
Mushfiqur Rahim,BDESH,18,16,1,767,107,51.13,755,101.58,2,4,0,2015
A Flower,ZIM,22,21,1,766,81,38.3,1075,71.25,0,6,1,1997
MS Dhoni,INDIA,24,22,9,764,91*,58.76,850,89.88,0,6,0,2011
BB McCullum,NZ,24,23,0,764,117,33.21,501,152.49,1,6,2,2015
AB de Villiers,SA,17,17,3,762,121,54.42,821,92.81,1,6,0,2009
A Symonds,AUS,24,21,3,761,151,42.27,804,94.65,2,5,1,2006
MG Bevan,AUS,26,23,7,760,79,47.5,1007,75.47,0,7,0,1996
KC Sangakkara,SL,26,25,1,758,110,31.58,1067,71.04,1,6,2,2007
ME Waugh,AUS,23,23,1,757,87,34.4,998,75.85,0,5,0,1998
TM Dilshan,SL,36,29,5,757,117*,31.54,852,88.84,1,2,0,2006
SC Ganguly,INDIA,22,22,4,756,112*,42,992,76.2,3,2,2,2003
EJG Morgan,ENG,22,22,4,756,92,42,806,93.79,0,7,1,2018
BC Lara,WI,18,17,2,755,103*,50.33,922,81.88,2,5,3,1997
RP Arnold,SL,32,28,8,753,62,37.65,1112,67.71,0,5,0,2002
MS Dhoni,INDIA,26,20,8,753,139*,62.75,784,96.04,1,5,1,2013
WU Tharanga,SL,28,26,1,752,71,30.08,993,75.73,0,8,2,2012
BB McCullum,NZ,24,23,0,750,131,32.6,935,80.21,1,3,3,2009
Saleem Malik,PAK,28,24,7,748,93*,44,1134,65.96,0,8,0,1994
SL Campbell,WI,27,25,0,747,69,29.88,1156,64.61,0,7,1,1999
AP Gurusinha,SL,27,25,0,746,87,29.84,1224,60.94,0,4,2,1996
AC Gilchrist,AUS,20,18,1,746,98,43.88,822,90.75,0,7,0,2001
KC Sangakkara,SL,23,23,3,746,138*,37.3,965,77.3,1,4,1,2005
ME Waugh,AUS,17,17,0,745,113,43.82,964,77.28,2,7,1,1993
S Dhawan,INDIA,20,20,0,745,137,37.25,872,85.43,2,4,0,2015
MS Atapattu,SL,20,20,3,744,132*,43.76,1028,72.37,1,5,1,1998
DPMD Jayawardene,SL,32,30,0,744,120,24.8,987,75.37,2,3,2,1999
Younis Khan,PAK,27,24,3,744,81,35.42,973,76.46,0,6,2,2011
Inzamam-ul-Haq,PAK,33,29,3,743,68,28.57,1104,67.3,0,4,2,2002
Shahid Afridi,PAK,37,36,2,743,108*,21.85,659,112.74,1,4,5,2002
GC Smith,SA,19,19,1,743,99,41.27,1011,73.49,0,5,0,2002
BRM Taylor,ZIM,17,17,2,743,128*,49.53,868,85.59,3,4,2,2011
AD Hales,ENG,14,13,1,743,171,61.91,733,101.36,3,4,1,2016
Tamim Iqbal,BDESH,18,18,2,742,132,46.37,909,81.62,2,5,2,2015
SR Tendulkar,INDIA,20,19,5,741,113,52.92,847,87.48,2,3,0,2002
Q de Kock,SA,16,16,0,741,135,46.31,856,86.56,4,0,0,2013
Q de Kock,SA,19,19,1,741,128,41.16,820,90.36,2,4,0,2014
R Dravid,INDIA,24,21,4,740,80,43.52,1046,70.74,0,6,0,2001
D Mongia,INDIA,25,25,3,740,159*,33.63,985,75.12,1,2,2,2002
NC Johnson,ZIM,21,21,1,739,132*,36.95,1007,73.38,3,4,1,1999
V Kohli,INDIA,10,10,2,739,154*,92.37,739,100,3,4,0,2016
MJ Guptill,NZ,22,21,3,738,122*,41,900,82,1,6,0,2009
NJ Astle,NZ,18,18,1,735,119,43.23,979,75.07,3,3,0,2001
A Symonds,AUS,31,22,5,734,143*,43.17,922,79.6,1,4,3,2003
RT Ponting,AUS,24,24,1,733,123,31.86,1061,69.08,2,3,4,1996
BC Lara,WI,20,20,3,732,116*,43.05,991,73.86,1,5,3,2001
MS Atapattu,SL,24,21,2,729,111,38.36,1103,66.09,1,5,2,2004
MJ Clarke,AUS,28,23,5,729,81,40.5,943,77.3,0,7,0,2006
DA Miller,SA,24,21,5,729,138*,45.56,666,109.45,2,1,2,2015
AC Parore,NZ,19,17,3,728,108,52,1067,68.22,1,5,0,1994
MG Bevan,AUS,19,18,5,728,108*,56,1016,71.65,2,3,1,1997
DJ Hussey,AUS,25,24,3,728,74,34.66,799,91.11,0,7,3,2012
MJ Guptill,NZ,18,18,1,727,114,42.76,728,99.86,2,4,3,2016
SO Hetmyer,WI,18,18,0,727,127,40.38,663,109.65,3,2,1,2018
AC Gilchrist,AUS,23,23,0,726,128,31.56,763,95.15,1,5,1,2000
HH Gibbs,SA,16,16,2,726,118,51.85,892,81.39,2,4,1,2005
KC Sangakkara,SL,17,17,2,726,74,48.4,860,84.41,0,7,1,2010
Saeed Anwar,PAK,15,15,1,724,131,51.71,869,83.31,4,2,1,1993
ST Jayasuriya,SL,25,24,1,724,130,31.47,866,83.6,2,3,2,2004
BRM Taylor,ZIM,20,20,2,723,145*,40.16,912,79.27,2,3,1,2010
JE Root,ENG,20,18,1,723,121,42.52,786,91.98,3,4,1,2015
MW Goodwin,ZIM,26,26,0,722,111,27.76,995,72.56,1,4,1,1998
CH Gayle,WI,19,19,0,722,152,38,908,79.51,1,6,2,2001
CH Gayle,WI,23,22,3,722,152*,38,1015,71.13,2,2,1,2004
SK Raina,INDIA,29,27,4,722,84,31.39,725,99.58,0,4,3,2011
AM Rahane,INDIA,21,20,2,722,87,40.11,907,79.6,0,6,1,2015
Rahmat Shah,AFG,20,19,0,722,114,38,966,74.74,1,6,0,2018
A Jadeja,INDIA,17,16,0,720,104,45,1116,64.51,1,6,1,1994
G Gambhir,INDIA,19,19,1,720,97,40,827,87.06,0,7,1,2011
DR Martyn,AUS,28,25,6,718,104*,37.78,1020,70.39,1,2,0,2002
VG Kambli,INDIA,25,24,10,716,82*,51.14,889,80.53,0,5,1,1994
BJ Haddin,AUS,20,20,1,716,109,37.68,808,88.61,1,5,1,2009
RS Mahanama,SL,28,25,4,714,94*,34,997,71.61,0,6,1,1997
AJ Strauss,ENG,22,22,2,713,152,35.65,877,81.29,1,3,2,2005
MV Boucher,SA,24,21,4,713,147*,41.94,802,88.9,1,5,1,2006
PA de Silva,SL,22,21,3,712,107*,39.55,842,84.56,1,5,2,1994
Saeed Anwar,PAK,17,17,1,711,90,44.43,929,76.53,0,7,1,2001
KC Wessels,SA,19,19,2,709,85,41.7,1354,52.36,0,6,0,1992
SP Fleming,NZ,21,21,2,708,106*,37.26,957,73.98,1,5,0,1996
Shoaib Malik,PAK,21,20,3,707,89,41.58,902,78.38,0,5,0,2007
WU Tharanga,SL,22,22,3,707,118*,37.21,958,73.79,1,5,3,2010
RR Singh,INDIA,37,30,5,706,100,28.24,802,88.02,1,1,2,1997
PD Collingwood,ENG,19,18,4,705,105*,50.35,840,83.92,1,4,0,2009
SR Tendulkar,INDIA,21,20,2,704,84,39.11,1019,69.08,0,6,0,1992
JC Buttler,ENG,25,24,4,704,121,35.2,626,112.46,1,3,1,2014
Mushfiqur Rahim,BDESH,18,17,1,704,117,44,825,85.33,1,6,0,2014
ADR Campbell,ZIM,26,25,2,703,97,30.56,1105,63.61,0,4,2,1999
Imran Nazir,PAK,27,27,1,701,105*,26.96,975,71.89,1,4,5,2000
S Matsikenyeri,ZIM,26,25,3,701,90,31.86,928,75.53,0,5,0,2009
PA de Silva,SL,22,22,2,699,75*,34.95,907,77.06,0,7,0,1993
Inzamam-ul-Haq,PAK,17,16,2,699,116*,49.92,866,80.71,1,5,1,1995
KS Williamson,NZ,18,18,1,699,118,41.11,855,81.75,1,5,1,2016
HDRL Thirimanne,SL,24,21,4,698,102,41.05,943,74.01,2,4,1,2014
CR Ervine,ZIM,22,21,3,698,130*,38.77,874,79.86,2,3,0,2015
M Kaif,INDIA,22,21,5,697,102*,43.56,966,72.15,1,4,1,2005
HH Gibbs,SA,22,21,1,696,175,34.8,781,89.11,1,4,4,2006
KC Sangakkara,SL,26,24,5,695,103*,36.57,963,72.17,2,1,0,2003
PA de Silva,SL,22,22,0,694,105,31.54,929,74.7,1,5,3,1998
HH Gibbs,SA,21,20,3,693,143,40.76,797,86.95,1,4,1,2003
SR Watson,AUS,17,16,0,693,143,43.31,652,106.28,3,2,1,2013
BC Lara,WI,15,15,3,692,146*,57.66,745,92.88,3,2,0,1996
M Kaif,INDIA,32,24,7,692,111*,40.7,848,81.6,1,3,0,2002
WJ Cronje,SA,22,20,4,691,73,43.18,804,85.94,0,6,1,1998
EJG Morgan,ENG,17,17,4,691,110*,53.15,736,93.88,3,2,0,2010
JWA Taylor,ENG,21,20,5,691,101,46.06,842,82.06,1,5,2,2015
DA Warner,AUS,13,13,1,691,179,57.58,672,102.82,3,1,0,2017
M Azharuddin,INDIA,25,24,5,689,81,36.26,745,92.48,0,3,0,1994
WW Hinds,WI,19,19,3,687,127*,42.93,913,75.24,3,2,2,2003
JH Kallis,SA,25,24,3,687,91,32.71,1076,63.84,0,7,2,2005
SV Carlisle,ZIM,29,27,1,686,91*,26.38,1235,55.54,0,4,3,2000
SHT Kandamby,SL,21,21,5,686,93*,42.87,887,77.33,0,5,0,2009
J Charles,WI,19,19,0,686,130,36.1,797,86.07,2,2,2,2013
PV Simmons,WI,29,28,4,685,92,28.54,1105,61.99,0,5,5,1993
RS Kaluwitharana,SL,30,29,1,685,100*,24.46,667,102.69,1,5,6,1996
Younis Khan,PAK,26,25,4,685,70*,32.61,953,71.87,0,5,2,2003
RS Morton,WI,24,21,3,685,110*,38.05,1051,65.17,2,3,5,2006
G Gambhir,INDIA,16,16,0,685,102,42.81,836,81.93,2,5,2,2012
VG Kambli,INDIA,18,18,2,684,100*,42.75,1005,68.05,1,5,0,1993
Tamim Iqbal,BDESH,12,12,4,684,130*,85.5,896,76.33,2,6,0,2018
CL White,AUS,26,22,3,682,105,35.89,877,77.76,1,5,1,2009
KR Rutherford,NZ,24,22,1,681,108,32.42,984,69.2,2,2,2,1994
SP Fleming,NZ,23,22,2,681,134*,34.05,1045,65.16,1,2,0,2003
Shoaib Malik,PAK,20,17,3,681,125*,48.64,740,92.02,1,6,0,2008
RR Rossouw,SA,17,16,2,681,132,48.64,691,98.55,2,3,1,2015
SK Raina,INDIA,19,18,3,680,116*,45.33,717,94.83,2,5,0,2008
DS Lehmann,AUS,25,24,5,679,103,35.73,853,79.6,1,3,0,1998
HM Amla,SA,10,9,1,678,150,84.75,747,90.76,2,4,0,2012
JM Kemp,SA,27,23,6,677,80,39.82,680,99.55,0,6,1,2005
ME Waugh,AUS,15,14,1,676,115*,52,847,79.81,3,2,1,1997
DPMD Jayawardene,SL,28,25,4,676,80,32.19,963,70.19,0,3,2,2004
Mohammad Ashraful,BDESH,26,26,3,676,109,29.39,941,71.83,1,4,1,2008
LRPL Taylor,NZ,20,19,1,676,95,37.55,834,81.05,0,7,0,2010
Abdul Razzaq,PAK,30,26,7,675,112,35.52,772,87.43,1,3,3,2002
DL Haynes,WI,25,25,2,674,82,29.3,1178,57.21,0,7,6,1993
ST Jayasuriya,SL,28,28,2,674,88,25.92,788,85.53,0,7,1,1999
Saeed Anwar,PAK,20,20,0,673,126,33.65,752,89.49,2,1,0,1990
PN Kirsten,SA,18,18,3,672,90,44.8,1096,61.31,0,5,0,1992
Soumya Sarkar,BDESH,15,15,2,672,127*,51.69,657,102.28,1,4,0,2015
Imam-ul-Haq,PAK,13,13,2,672,128,61.09,809,83.06,3,3,1,2018
V Sehwag,INDIA,27,26,0,671,90,25.8,736,91.16,0,5,3,2004
Shakib Al Hasan,BDESH,19,17,4,671,105*,51.61,632,106.17,2,4,0,2009
JC Buttler,ENG,23,18,5,671,110*,51.61,591,113.53,2,4,3,2018
ME Trescothick,ENG,17,16,0,670,130,41.87,784,85.45,2,4,1,2004
G Gambhir,INDIA,14,14,2,670,138*,55.83,713,93.96,2,3,2,2010
Inzamam-ul-Haq,PAK,20,18,1,669,116*,39.35,910,73.51,1,4,2,1998
SP Fleming,NZ,23,22,2,669,106,33.45,870,76.89,2,4,2,2007
DPMD Jayawardene,SL,26,26,0,669,123,25.73,806,83,1,3,3,2009
S Chanderpaul,WI,24,22,2,668,92,33.4,951,70.24,0,5,0,2004
GP Thorpe,ENG,18,18,4,666,89,47.57,910,73.18,0,6,1,1996
CD McMillan,NZ,23,22,3,666,104*,35.05,796,83.66,1,3,2,2001
MN Samuels,WI,28,27,4,664,68,28.86,987,67.27,0,5,0,2001
LRPL Taylor,NZ,29,26,3,663,117,28.82,826,80.26,1,4,4,2007
AN Cook,ENG,15,15,1,663,137,47.35,829,79.97,3,3,2,2012
LRPL Taylor,NZ,13,13,3,662,112*,66.2,751,88.14,3,3,0,2014
ST Jayasuriya,SL,23,23,0,661,102,28.73,790,83.67,1,4,3,1998
NV Knight,ENG,12,12,0,661,122,55.08,890,74.26,1,6,0,1998
Abdul Razzaq,PAK,38,32,8,661,75*,27.54,835,79.16,0,3,3,2000
AC Hudson,SA,18,18,0,660,108,36.66,1062,62.14,1,5,0,1992
BC Lara,WI,28,26,5,660,87,31.42,865,76.3,0,4,1,2006
PJ Hughes,AUS,20,19,1,660,138*,36.66,885,74.57,2,2,1,2013
Yuvraj Singh,INDIA,26,21,3,659,80*,36.61,686,96.06,0,7,1,2002
JP Duminy,SA,21,21,3,659,150*,36.61,789,83.52,1,3,1,2013
RB Richardson,WI,19,19,1,658,122,36.55,887,74.18,2,3,0,1991
KP Pietersen,ENG,21,18,3,658,111*,43.86,773,85.12,2,3,1,2008
A Flower,ZIM,14,13,2,657,145,59.72,742,88.54,1,6,2,2002
MJ Clarke,AUS,15,14,0,656,117,46.85,800,82,1,5,0,2012
Babar Azam,PAK,11,11,0,656,123,59.63,689,95.21,3,2,0,2016
LD Chandimal,SL,14,13,2,656,102,59.63,844,77.72,2,6,0,2016
PR Stirling,IRE,16,15,0,656,101,43.73,739,88.76,1,5,2,2017
RR Singh,INDIA,39,35,8,655,75,24.25,901,72.69,0,2,2,1999
AJ Strauss,ENG,21,20,4,655,100,40.93,873,75.02,1,4,0,2004
DR Martyn,AUS,24,22,3,655,79,34.47,891,73.51,0,6,0,2006
AJ Finch,AUS,25,23,0,655,107,28.47,696,94.1,1,5,2,2016
Saleem Malik,PAK,26,24,4,654,102,32.7,972,67.28,1,2,2,1992
IR Bell,ENG,16,16,1,654,88,43.6,929,70.39,0,5,0,2006
M Azharuddin,INDIA,21,20,1,652,93,34.31,954,68.34,0,5,1,1992
GC Smith,SA,18,18,1,652,80,38.35,899,72.52,0,4,0,2004
DA Warner,AUS,15,14,2,652,178,54.33,590,110.5,2,2,0,2015
HH Dippenaar,SA,18,18,2,651,125*,40.68,977,66.63,2,3,1,2006
S Chanderpaul,WI,17,17,2,650,85*,43.33,896,72.54,0,5,0,2005
MJ Guptill,NZ,16,15,3,650,105,54.16,842,77.19,1,4,0,2011
ADR Campbell,ZIM,22,22,4,649,86,36.05,881,73.66,0,5,1,1997
GW Flower,ZIM,31,31,7,648,96*,27,950,68.21,0,4,4,2000
NJ Astle,NZ,17,17,0,647,117,38.05,851,76.02,1,5,1,1997
AJ Strauss,ENG,21,21,1,647,105,32.35,828,78.14,1,4,2,2009
JJ Roy,ENG,17,17,2,647,162,43.13,599,108.01,2,2,1,2016
SV Manjrekar,INDIA,14,14,2,646,105,53.83,903,71.53,1,7,0,1991
S Ramesh,INDIA,24,24,1,646,82,28.08,1092,59.15,0,6,3,1999
Inzamam-ul-Haq,PAK,17,16,3,646,118*,49.69,852,75.82,1,4,2,2001
SB Styris,NZ,23,21,3,646,141,35.88,853,75.73,1,4,2,2003
Misbah-ul-Haq,PAK,21,17,5,646,79*,53.83,653,98.92,0,5,0,2008
Tamim Iqbal,BDESH,12,11,1,646,128,64.6,777,83.14,2,4,1,2017
DL Haynes,WI,20,20,3,645,96,37.94,1187,54.33,0,6,1,1992
V Sehwag,INDIA,12,12,0,645,219,53.75,524,123.09,2,1,2,2011
AB de Villiers,SA,13,12,6,645,125*,107.5,594,108.58,2,3,0,2012
IR Bell,ENG,16,16,1,645,113*,43,839,76.87,1,4,0,2013
GJ Maxwell,AUS,19,15,1,644,102,46,474,135.86,1,4,1,2015
WTS Porterfield,IRE,16,15,0,644,119,42.93,793,81.21,2,2,0,2017
Moin Khan,PAK,36,32,12,643,61,32.15,833,77.19,0,3,2,1997
ST Jayasuriya,SL,23,23,0,643,107,27.95,675,95.25,1,2,3,2009
JC Buttler,ENG,21,18,3,642,129,42.8,540,118.88,2,2,1,2015
MR Marsh,AUS,23,21,6,642,102*,42.8,668,96.1,1,4,2,2016
Abdul Razzaq,PAK,26,24,9,640,107*,42.66,627,102.07,1,3,0,2004
Shahid Afridi,PAK,25,24,1,640,102,27.82,406,157.63,1,2,2,2005
MS Dhoni,INDIA,20,17,3,640,92*,45.71,737,86.83,0,4,0,2015
LRPL Taylor,NZ,11,10,3,639,181*,91.28,719,88.87,2,4,0,2018
JC Adams,WI,25,22,5,638,82,37.52,1033,61.76,0,4,1,1999
G Kirsten,SA,13,13,1,638,133*,53.16,798,79.94,2,4,0,2001
Shoaib Malik,PAK,22,22,3,638,108,33.57,816,78.18,1,3,3,2006
WU Tharanga,SL,28,27,0,638,73,23.62,977,65.3,0,4,1,2007
DM Bravo,WI,24,23,3,637,86,31.85,912,69.84,0,5,3,2011
CL Hooper,WI,18,17,4,635,110*,48.84,769,82.57,3,2,1,1997
SR Waugh,AUS,27,22,4,634,120*,35.22,833,76.11,1,3,2,1999
G Gambhir,INDIA,21,21,3,634,101,35.22,849,74.67,1,5,2,2007
BJ Haddin,AUS,24,23,1,634,88,28.81,836,75.83,0,5,0,2011
A Flintoff,ENG,14,13,2,633,123,57.54,618,102.42,3,2,0,2004
