name,country,matches,innings,no,runs,highest,average,balls,strikerate,hunderd,fifty,duck,year
Sikandar Raza,ZIM,18,18,2,633,92,39.56,769,82.31,0,5,0,2018
TM Dilshan,SL,27,24,5,632,70,33.26,760,83.15,0,3,0,2007
CH Gayle,WI,14,13,1,632,122,52.66,693,91.19,3,3,1,2008
HM Amla,SA,15,15,1,632,116*,45.14,718,88.02,2,5,1,2011
BC Lara,WI,29,28,2,631,117,24.26,760,83.02,1,1,2,1999
A Flintoff,ENG,20,20,6,631,70*,45.07,700,90.14,0,6,1,2003
MV Boucher,SA,30,23,6,631,78,37.11,620,101.77,0,5,2,2007
LRPL Taylor,NZ,24,23,3,631,76,31.55,831,75.93,0,5,2,2009
SK Raina,INDIA,24,21,5,631,106,39.43,649,97.22,1,3,0,2010
Anamul Haque,BDESH,18,17,0,631,109,37.11,897,70.34,2,3,3,2014
MN Samuels,WI,21,19,1,630,98,35,794,79.34,0,6,1,2007
E Chigumbura,ZIM,25,24,2,630,79,28.63,631,99.84,0,5,1,2009
Ahmed Shehzad,PAK,16,16,0,629,113,39.31,829,75.87,2,4,2,2014
SR Tendulkar,INDIA,16,16,2,628,141*,44.85,815,77.05,2,3,1,2006
AC Parore,NZ,20,20,2,627,93,34.83,908,69.05,0,4,3,1996
Mohammad Yousuf,PAK,21,19,3,627,83*,39.18,989,63.39,0,5,0,2006
SC Williams,WI,12,12,2,626,105*,62.6,910,68.79,1,6,0,1997
JE Root,ENG,20,19,3,626,79*,39.12,762,82.15,0,4,1,2013
SA Thomson,NZ,25,24,4,624,83,31.2,878,71.07,0,5,1,1994
S Chanderpaul,WI,20,18,3,624,108*,41.6,830,75.18,1,4,1,2002
R Dravid,INDIA,23,21,6,623,62,41.53,966,64.49,0,4,0,2003
V Kohli,INDIA,20,20,3,623,138,36.64,773,80.59,2,1,0,2015
DM Jones,AUS,20,19,3,622,90,38.87,1008,61.7,0,5,1,1992
SB Styris,NZ,25,23,4,622,101*,32.73,755,82.38,1,4,1,2004
MEK Hussey,AUS,18,16,5,622,85,56.54,836,74.4,0,6,0,2008
AJ Stewart,ENG,14,14,0,621,116,44.35,778,79.82,1,3,0,1997
SL Campbell,WI,18,17,0,621,105,36.52,940,66.06,2,4,2,2000
SR Waugh,AUS,24,22,4,620,86,34.44,781,79.38,0,5,0,1994
Shoaib Malik,PAK,27,24,2,620,82*,28.18,667,92.95,0,3,0,2003
NJ Astle,NZ,25,25,3,619,122*,28.13,887,69.78,1,4,4,2002
BB McCullum,NZ,16,15,2,618,166,47.53,561,110.16,1,4,0,2008
Younis Khan,PAK,17,17,0,617,117,36.29,793,77.8,1,4,1,2007
DPMD Jayawardene,SL,27,25,3,617,94,28.04,852,72.41,0,6,2,2008
BA Stokes,ENG,15,13,3,616,102*,61.6,576,106.94,2,4,0,2017
MJ Clarke,AUS,26,23,4,615,105*,32.36,689,89.25,1,1,3,2004
Younis Khan,PAK,20,20,4,615,101,38.43,874,70.36,1,4,2,2006
RA Smith,ENG,16,16,4,614,91,51.16,827,74.24,0,6,1,1992
MV Boucher,SA,36,28,5,614,70,26.69,712,86.23,0,5,2,2002
VVS Laxman,INDIA,21,21,1,613,99,30.65,855,71.69,0,5,0,2002
KP Pietersen,ENG,16,16,2,612,90*,43.71,692,88.43,0,5,0,2006
IR Bell,ENG,25,24,1,612,81,26.6,786,77.86,0,3,1,2011
DR Martyn,AUS,26,24,5,611,74*,32.15,803,76.08,0,5,2,2004
CH Gayle,WI,21,20,3,611,85*,35.94,741,82.45,0,6,1,2007
RG Sharma,INDIA,16,16,5,611,95,55.54,739,82.67,0,6,0,2011
IJL Trott,ENG,14,14,4,611,109*,61.1,710,86.05,1,4,2,2013
G Kirsten,SA,20,20,2,610,112*,33.88,1033,59.05,1,3,0,1994
D Ganga,WI,20,20,0,610,71,30.5,1005,60.69,0,8,2,2001
Shoaib Malik,PAK,22,20,2,610,75,33.88,800,76.25,0,7,0,2005
V Sehwag,INDIA,24,23,0,608,97,26.43,708,85.87,0,5,1,2006
A Ranatunga,SL,25,23,6,607,75*,35.7,769,78.93,0,2,2,1996
Shakib Al Hasan,BDESH,23,23,4,607,134*,31.94,924,65.69,1,4,2,2007
Shoaib Malik,PAK,15,15,6,607,112,67.44,560,108.39,1,4,0,2015
Mohammad Shahzad,AFG,18,18,1,607,124,35.7,745,81.47,1,4,1,2018
GR Marsh,AUS,14,14,1,606,113,46.61,1081,56.05,2,3,1,1991
Asif Mujtaba,PAK,25,20,7,606,113*,46.61,887,68.32,1,3,1,1993
BA Young,NZ,27,27,2,606,65,24.24,1118,54.2,0,2,2,1994
CZ Harris,NZ,28,27,5,606,63*,27.54,978,61.96,0,3,3,2002
RS Mahanama,SL,22,22,2,605,92*,30.25,1148,52.7,0,4,1,1993
SK Raina,INDIA,27,21,5,605,68,37.81,596,101.51,0,5,3,2009
Shahid Afridi,PAK,27,27,2,604,69,24.16,732,82.51,0,3,3,2000
AG Prince,SA,26,23,8,604,89*,40.26,907,66.59,0,3,3,2005
RT Ponting,AUS,18,17,2,604,104,40.26,754,80.1,1,3,1,2011
Saleem Malik,PAK,20,20,3,603,91*,35.47,721,83.63,0,5,3,1990
RS Mahanama,SL,22,21,3,603,119*,33.5,921,65.47,2,2,1,1994
CK Kapugedera,SL,26,22,1,603,95,28.71,843,71.53,0,4,2,2008
Tamim Iqbal,BDESH,19,19,0,602,154,31.68,762,79,1,3,2,2009
Shahid Afridi,PAK,18,18,0,601,124,33.38,417,144.12,2,0,1,2010
MN Samuels,WI,15,15,2,601,133*,46.23,709,84.76,2,3,1,2015
MW Goodwin,ZIM,26,25,2,600,76*,26.08,892,67.26,0,2,0,1999
RD Jacobs,WI,33,28,3,600,80*,24,994,60.36,0,4,4,1999
Abdul Razzaq,PAK,30,26,8,600,76*,33.33,579,103.62,0,2,1,2003
GC Smith,SA,19,18,0,600,71,33.33,779,77.02,0,6,0,2003
Yuvraj Singh,INDIA,26,25,6,600,102*,31.57,782,76.72,1,3,2,2003
MS Dhoni,INDIA,18,17,4,600,101*,46.15,760,78.94,1,3,1,2010
AN Cook,ENG,15,15,2,600,119,46.15,644,93.16,1,5,1,2011
SD Hope,WI,22,19,1,600,81,33.33,892,67.26,0,4,1,2017
S Chanderpaul,WI,17,16,2,599,109*,42.78,852,70.3,1,3,1,1997
CJ Ferguson,AUS,25,22,9,599,71*,46.07,704,85.08,0,5,0,2009
Aamer Sohail,PAK,22,22,0,598,114,27.18,930,64.3,1,3,1,1992
JN Rhodes,SA,22,19,7,596,94*,49.66,688,86.62,0,4,1,1998
KS Williamson,NZ,14,14,0,596,100,42.57,699,85.26,1,5,0,2017
ME Waugh,AUS,23,23,1,595,116,27.04,933,63.77,1,3,2,2000
L Vincent,NZ,27,27,3,595,60*,24.79,968,61.46,0,3,2,2002
JH Kallis,SA,17,14,3,595,125*,54.09,798,74.56,2,3,1,2003
SG Law,AUS,25,23,2,593,72,28.23,732,81.01,0,4,2,1996
G Kirsten,SA,16,16,1,593,89,39.53,881,67.3,0,7,1,1997
JH Kallis,SA,12,12,2,593,104*,59.3,664,89.3,1,6,1,2010
MS Atapattu,SL,22,20,4,592,80,37,787,75.22,0,4,0,2006
AJ Strauss,ENG,20,20,1,592,78,31.15,774,76.48,0,6,2,2006
Mohammad Yousuf,PAK,17,15,5,592,108*,59.2,654,90.51,2,2,0,2008
MV Boucher,SA,37,25,6,591,68,31.1,805,73.41,0,6,1,2000
Javed Miandad,PAK,23,20,2,590,107,32.77,916,64.41,1,3,3,1993
HJH Marshall,NZ,25,23,4,590,84,31.05,821,71.86,0,6,2,2004
BRM Taylor,ZIM,17,17,3,590,118*,42.14,702,84.04,1,5,3,2009
CL Hooper,WI,29,25,7,589,69*,32.72,889,66.25,0,3,1,1993
NC Johnson,ZIM,18,18,1,589,97,34.64,919,64.09,0,5,1,2000
TLW Cooper,NL,10,10,1,589,101,65.44,826,71.3,1,5,0,2010
N Boje,SA,32,23,5,588,129,32.66,647,90.88,2,2,2,2000
Mohammad Yousuf,PAK,16,16,2,588,91*,42,889,66.14,0,3,0,2001
WJ Cronje,SA,27,25,4,587,82,27.95,647,90.72,0,4,2,1999
Ijaz Ahmed,PAK,20,20,3,587,137,34.52,801,73.28,1,3,2,1999
MP Vaughan,ENG,22,22,3,587,83,30.89,848,69.22,0,4,0,2003
MEK Hussey,AUS,20,14,10,587,88*,146.75,577,101.73,0,5,0,2005
BKG Mendis,SL,22,22,1,587,102,27.95,745,78.79,1,4,2,2017
MA Taylor,AUS,23,21,1,586,68*,29.3,948,61.81,0,5,0,1994
SR Waugh,AUS,24,21,1,586,71,29.3,703,83.35,0,4,3,1998
NJ Astle,NZ,12,12,2,586,118*,58.6,722,81.16,1,4,1,2006
OA Shah,ENG,21,18,3,586,72,39.06,649,90.29,0,5,3,2008
AM Rahane,INDIA,12,12,0,586,103,48.83,754,77.71,1,7,0,2017
CL Cairns,NZ,24,22,3,585,84*,30.78,681,85.9,0,2,0,2003
SO Tikolo,KENYA,15,15,2,585,111,45,658,88.9,1,4,1,2006
AD Mathews,SL,28,21,3,585,74*,32.5,725,80.68,0,4,2,2013
AT Rayudu,INDIA,20,18,5,584,121*,44.92,727,80.33,1,4,0,2014
RS Kaluwitharana,SL,22,21,2,583,102*,30.68,843,69.15,1,3,3,2001
MG Bevan,AUS,19,16,7,581,87*,64.55,731,79.48,0,4,0,2001
H Masakadza,ZIM,26,26,0,581,84,22.34,853,68.11,0,3,0,2018
Basit Ali,PAK,24,20,3,580,75*,34.11,818,70.9,0,6,2,1994
MEK Hussey,AUS,19,19,1,580,67,32.22,703,82.5,0,4,0,2012
CL Cairns,NZ,20,18,3,579,115,38.6,708,81.77,1,2,1,1999
JN Rhodes,SA,23,22,7,578,83*,38.53,661,87.44,0,4,1,1997
S Chanderpaul,WI,13,13,4,578,107*,64.22,771,74.96,1,5,0,2008
ST Jayasuriya,SL,18,17,0,578,130,34,542,106.64,2,2,2,2008
RG Sharma,INDIA,12,12,1,578,264,52.54,613,94.29,1,3,0,2014
F du Plessis,SA,15,14,2,578,111,48.16,590,97.96,1,4,1,2016
SP Fleming,NZ,25,22,3,577,85,30.36,841,68.6,0,5,1,2000
SR Waugh,AUS,23,20,6,577,114*,41.21,691,83.5,1,3,1,2000
HH Gibbs,SA,20,20,2,576,111,32,728,79.12,1,4,2,2000
T Taibu,ZIM,18,18,2,574,78,35.87,839,68.41,0,5,1,2010
JC Buttler,ENG,16,13,3,573,105,57.3,441,129.93,1,5,2,2016
AD Mathews,SL,15,14,5,573,111*,63.66,745,76.91,1,3,0,2017
A Ranatunga,SL,23,22,3,572,83*,30.1,718,79.66,0,4,0,1993
MA Taylor,AUS,16,16,0,572,81,35.75,1054,54.26,0,6,0,1993
KP Pietersen,ENG,19,18,0,571,78,31.72,637,89.63,0,3,1,2011
HDRL Thirimanne,SL,28,20,1,571,77,30.05,761,75.03,0,4,1,2012
Mohammad Yousuf,PAK,19,17,4,570,104*,43.84,772,73.83,1,3,0,1999
Ahmed Shehzad,PAK,17,17,0,570,95,33.52,752,75.79,0,4,1,2015
NJ Astle,NZ,21,20,1,569,120,29.94,743,76.58,2,2,1,1999
Kamran Akmal,PAK,21,20,3,569,124,33.47,624,91.18,3,0,0,2005
BKG Mendis,SL,17,16,1,569,94,37.93,622,91.47,0,7,1,2016
WJ Cronje,SA,16,15,3,568,83*,47.33,759,74.83,0,5,0,2000
T Taibu,ZIM,28,26,2,568,96*,23.66,955,59.47,0,2,4,2004
Junaid Siddique,BDESH,17,17,1,568,100,35.5,753,75.43,1,4,1,2010
Nasir Jamshed,PAK,23,23,0,568,106,24.69,922,61.6,1,2,2,2013
Aamer Sohail,PAK,19,19,2,566,97*,33.29,866,65.35,0,3,1,1998
A Ranatunga,SL,15,15,5,565,85*,56.5,703,80.36,0,5,0,1990
Salman Butt,PAK,20,20,0,565,101,28.25,782,72.25,1,2,2,2005
RS Mahanama,SL,17,16,3,564,107,43.38,919,61.37,1,5,2,1992
M Kaif,INDIA,22,20,5,564,80,37.6,719,78.44,0,4,0,2004
Shakib Al Hasan,BDESH,20,19,2,564,79,33.17,786,71.75,0,5,0,2011
RG Sharma,INDIA,10,10,1,564,171*,62.66,592,95.27,2,2,0,2016
CH Gayle,WI,17,17,0,563,132,33.11,635,88.66,2,2,3,2005
JP Duminy,SA,15,15,2,563,99,43.3,630,89.36,0,5,1,2011
ST Jayasuriya,SL,24,23,0,562,140,24.43,732,76.77,1,4,3,1994
G Kirsten,SA,18,18,1,561,103,33,739,75.91,1,3,3,1998
GC Smith,SA,21,21,1,561,119*,28.05,658,85.25,1,3,4,2006
LRPL Taylor,NZ,17,13,2,561,131*,51,662,84.74,2,2,0,2011
AJ Finch,AUS,16,15,1,561,135,40.07,635,88.34,1,4,2,2015
KM Jadhav,INDIA,25,18,4,561,120,40.07,505,111.08,1,3,1,2017
NJ Astle,NZ,22,22,0,560,120,25.45,812,68.96,2,2,3,1996
JN Rhodes,SA,25,21,5,560,121,35,721,77.66,1,2,0,1996
RR Watson,SCOT,17,17,1,560,123*,35,806,69.47,1,2,0,2007
AN Cook,ENG,16,16,0,560,78,35,745,75.16,0,5,1,2013
EJG Morgan,ENG,21,20,4,560,124*,35,614,91.2,1,2,1,2013
EJG Morgan,ENG,23,22,0,560,106,25.45,666,84.08,1,3,1,2014
MP Vaughan,ENG,21,20,2,557,90*,30.94,819,68,0,6,2,2004
CD McMillan,NZ,21,18,3,557,117,37.13,610,91.31,1,3,0,2007
JH Kallis,SA,14,14,4,557,121*,55.7,684,81.43,1,5,0,2008
DPMD Jayawardene,SL,21,19,2,557,107,32.76,684,81.43,1,2,0,2013
HH Pandya,INDIA,28,19,3,557,83,34.81,462,120.56,0,4,1,2017
HH Streak,ZIM,31,25,8,556,79*,32.7,690,80.57,0,3,1,2001
WTS Porterfield,IRE,18,18,2,555,112*,34.68,933,59.48,2,2,2,2007
Mohammad Hafeez,PAK,18,17,3,555,88,39.64,676,82.1,0,4,0,2017
DPMD Jayawardene,SL,21,20,2,554,128,30.77,777,71.29,1,2,1,2000
RB Richardson,WI,21,19,3,553,76*,34.56,935,59.14,0,5,0,1992
AJ Stewart,ENG,12,12,3,553,101,61.44,817,67.68,2,3,1,2000
ME Trescothick,ENG,22,22,3,553,104*,29.1,695,79.56,2,1,3,2005
CH Gayle,WI,15,15,1,553,135,39.5,470,117.65,1,2,2,2009
JN Rhodes,SA,25,23,5,551,69,30.61,698,78.93,0,4,1,2000
Sarfaraz Ahmed,PAK,22,18,2,551,101*,34.43,637,86.49,1,2,0,2015
Rahmat Shah,AFG,16,15,1,551,108*,39.35,786,70.1,1,5,1,2017
JDP Oram,NZ,23,16,5,549,101*,49.9,559,98.21,1,4,0,2007
IR Bell,ENG,11,11,1,549,126,54.9,664,82.68,1,4,0,2012
Rameez Raja,PAK,18,18,1,547,109*,32.17,864,63.31,1,3,2,1993
DD Ebrahim,ZIM,26,25,2,547,121,23.78,886,61.73,1,1,4,2001
GR Marsh,AUS,15,14,0,546,86,39,960,56.87,0,5,0,1990
OA Shah,ENG,19,18,0,546,98,30.33,719,75.93,0,3,1,2009
RR Sarwan,WI,17,15,1,546,75*,39,873,62.54,0,5,0,2011
MS Wade,AUS,25,24,0,546,75,22.75,793,68.85,0,4,2,2012
TWM Latham,NZ,15,15,1,546,104,39,644,84.78,2,3,3,2017
V Sibanda,ZIM,16,16,1,545,96,36.33,788,69.16,0,4,1,2007
HP Tillakaratne,SL,30,25,6,544,70*,28.63,1070,50.84,0,2,4,1996
Moin Khan,PAK,38,32,3,544,56*,18.75,677,80.35,0,1,4,2000
DA Miller,SA,24,24,7,544,85*,32,598,90.96,0,4,3,2013
L Vincent,NZ,14,13,1,542,172,45.16,505,107.32,1,3,1,2005
VVS Laxman,INDIA,16,15,1,541,101,38.64,736,73.5,1,4,1,2001
SM Pollock,SA,29,22,8,541,130,38.64,579,93.43,1,3,0,2007
SPD Smith,AUS,12,12,1,541,104,49.18,612,88.39,2,3,0,2014
AR Border,AUS,22,20,6,540,69*,38.57,766,70.49,0,2,0,1990
A Bagai,CAN,11,11,2,539,91*,59.88,756,71.29,0,6,0,2010
F du Plessis,SA,21,21,1,539,62*,26.95,682,79.03,0,3,0,2013
SK Raina,INDIA,17,16,2,539,100,38.5,470,114.68,1,3,1,2014
MD Gunathilaka,SL,15,15,0,539,116,35.93,649,83.05,1,4,1,2017
PA de Silva,SL,19,18,2,538,105,33.62,648,83.02,1,2,0,1992
Saleem Malik,PAK,19,18,0,538,64,29.88,721,74.61,0,5,1,1997
JH Kallis,SA,12,12,0,538,81,44.83,658,81.76,0,5,0,2009
Mushfiqur Rahim,BDESH,25,24,3,538,86,25.61,754,71.35,0,3,1,2010
JN Rhodes,SA,21,18,8,537,75*,53.7,555,96.75,0,4,0,2001
AD Hales,ENG,15,15,1,535,110,38.21,522,102.49,1,4,1,2017
GA Hick,ENG,15,15,1,534,104*,38.14,679,78.64,1,3,1,1996
CL Hooper,WI,20,18,1,534,72,31.41,732,72.95,0,2,0,2001
AD Mathews,SL,27,23,9,534,80*,38.14,579,92.22,0,4,3,2012
JM Bairstow,ENG,10,10,5,534,141*,106.8,533,100.18,2,3,0,2017
CS MacLeod,SCOT,11,11,2,534,157*,59.33,535,99.81,2,2,0,2018
JJ Roy,ENG,16,16,0,533,96,33.31,513,103.89,0,6,1,2017
DR Martyn,AUS,22,20,11,532,116*,59.11,655,81.22,1,3,0,2000
RG Sharma,INDIA,28,28,7,532,70*,25.33,733,72.57,0,3,2,2008
H Masakadza,ZIM,15,15,0,532,93,35.46,685,77.66,0,5,1,2014
S Chanderpaul,WI,14,12,3,531,112*,59,687,77.29,1,3,0,2009
AH Jones,NZ,18,18,2,530,78,33.12,991,53.48,0,4,1,1992
RP Arnold,SL,21,18,6,530,59*,44.16,649,81.66,0,4,0,2000
AP Gurusinha,SL,17,17,0,529,108,31.11,794,66.62,1,3,1,1995
KA Pollard,WI,21,19,1,528,119,29.33,472,111.86,1,3,3,2011
RR Singh,INDIA,29,26,3,527,51,22.91,850,62,0,2,1,2000
Mushfiqur Rahim,BDESH,20,20,4,527,101,32.93,786,67.04,1,3,2,2011
GJ Whittall,ZIM,21,21,4,526,83,30.94,641,82.05,0,3,1,1997
MS Dhoni,INDIA,16,14,6,524,113*,65.5,598,87.62,1,3,0,2012
MA Taylor,AUS,13,13,0,523,97,40.23,793,65.95,0,4,1,1995
Moin Khan,PAK,29,25,5,523,63,26.15,535,97.75,0,2,3,1999
CL Cairns,NZ,21,17,3,523,102*,37.35,600,87.16,1,2,1,2000
IR Bell,ENG,20,19,2,523,73,30.76,699,74.82,0,2,2,2008
WU Tharanga,SL,13,13,0,523,118,40.23,635,82.36,1,4,3,2009
AN Cook,ENG,20,20,1,523,56,27.52,734,71.25,0,1,0,2014
JN Mohammed,WI,22,19,1,523,91*,29.05,727,71.93,0,4,1,2017
M Azharuddin,INDIA,13,12,4,522,108,65.25,627,83.25,1,4,0,1990
M Prabhakar,INDIA,17,17,0,522,91,30.7,835,62.51,0,5,2,1993
NV Knight,ENG,12,12,3,522,84,58,780,66.92,0,5,0,2001
DPMD Jayawardene,SL,17,16,3,522,94*,40.15,631,82.72,0,5,0,2005
KR Rutherford,NZ,19,17,3,521,65*,37.21,808,64.48,0,4,0,1992
RA Smith,ENG,11,11,1,521,167*,52.1,753,69.18,2,1,0,1993
DS Lehmann,AUS,15,14,5,520,119,57.77,618,84.14,1,1,2,2002
Abdul Razzaq,PAK,26,23,3,520,88,26,586,88.73,0,3,3,2005
PD Collingwood,ENG,18,17,2,520,93,34.66,684,76.02,0,4,2,2006
AD Mathews,SL,13,12,1,520,95,47.27,625,83.2,0,5,1,2016
JH Kallis,SA,15,15,2,519,82,39.92,770,67.4,0,5,0,1997
Aftab Ahmed,BDESH,23,23,0,519,92,22.56,631,82.25,0,2,1,2007
MS Wade,AUS,29,23,3,518,76,25.9,544,95.22,0,3,1,2016
TM Head,AUS,15,13,2,518,128,47.09,567,91.35,1,3,0,2017
DJ Cullinan,SA,21,20,1,517,94,27.21,781,66.19,0,3,1,1999
Mohammad Shahzad,AFG,12,12,1,517,118,47,554,93.32,2,3,1,2010
SK Raina,INDIA,20,17,1,517,110*,32.31,520,99.42,1,4,2,2015
GA Hick,ENG,21,20,4,516,87*,32.25,689,74.89,0,5,3,2000
CL Hooper,WI,19,16,5,516,112*,46.9,563,91.65,1,1,0,2002
D Ramdin,WI,13,11,2,516,169,57.33,503,102.58,2,2,0,2014
Shoaib Malik,PAK,17,15,6,516,101*,57.33,549,93.98,1,3,0,2017
S Chanderpaul,WI,18,18,0,515,80,28.61,922,55.85,0,5,0,1996
SP Fleming,NZ,16,16,2,514,78*,36.71,637,80.69,0,4,1,1995
KJ O'Brien,IRE,18,18,1,514,142,30.23,658,78.11,1,2,0,2007
AJ Finch,AUS,18,17,0,514,148,30.23,558,92.11,1,2,1,2013
CL Hooper,WI,10,10,2,513,111,64.12,539,95.17,1,5,0,1994
AJ Strauss,ENG,14,14,0,513,158,36.64,574,89.37,1,3,2,2011
SR Tendulkar,INDIA,11,11,0,513,120,46.63,579,88.6,2,2,0,2011
L Vincent,NZ,15,15,1,512,101,36.57,655,78.16,1,4,3,2007
E Lewis,WI,20,17,1,512,176*,32,618,82.84,1,1,1,2017
Q de Kock,SA,17,17,1,511,109,31.93,549,93.07,2,1,1,2015
HM Amla,SA,14,14,1,511,127,39.3,575,88.86,2,2,1,2016
AJ Stewart,ENG,18,15,1,510,103,36.42,725,70.34,1,4,2,1992
RT Ponting,AUS,14,14,0,510,115,36.42,618,82.52,1,3,3,2000
L Klusener,SA,27,21,8,510,83,39.23,560,91.07,0,3,1,2002
LRPL Taylor,NZ,13,13,2,510,107*,46.36,654,77.98,2,3,1,2013
MS Sinclair,NZ,16,16,1,509,118*,33.93,788,64.59,2,2,1,2001
Mohammad Ashraful,BDESH,22,21,3,509,87,28.27,625,81.44,0,3,0,2007
RV Uthappa,INDIA,22,20,3,509,70,29.94,457,111.37,0,3,2,2007
Kamran Akmal,PAK,20,19,2,509,116*,29.94,591,86.12,1,2,1,2009
DPMD Jayawardene,SL,15,15,3,509,108,42.41,637,79.9,1,4,1,2010
IR Bell,ENG,11,11,2,509,141,56.55,578,88.06,1,4,1,2015
Babar Azam,PAK,18,17,3,509,106*,36.35,627,81.18,1,2,2,2018
CL Cairns,NZ,20,20,1,507,71,26.68,635,79.84,0,2,0,1996
WW Hinds,WI,23,20,1,507,93,26.68,646,78.48,0,3,1,2002
GD Elliott,NZ,21,17,5,507,115,42.25,655,77.4,1,2,2,2009
EJG Morgan,IRE,17,17,6,507,84*,46.09,595,85.21,0,5,1,2009
Mahmudullah,BDESH,24,22,6,507,64*,31.68,732,69.26,0,2,1,2010
NH Fairbrother,ENG,15,13,3,506,75*,50.6,660,76.66,0,5,0,1992
MDKJ Perera,SL,22,22,0,506,106,23,605,83.63,1,2,6,2014
Mahmudullah,BDESH,15,14,1,506,128*,38.92,647,78.2,2,3,1,2015
RP Arnold,SL,14,14,3,505,103,45.9,694,72.76,1,2,0,1999
AD Mathews,SL,26,21,6,505,62,33.66,634,79.65,0,2,2,2011
ND McKenzie,SA,17,13,5,504,131*,63,673,74.88,1,2,1,2001
RG Sharma,INDIA,15,14,1,504,114,38.76,586,86,2,1,2,2010
Inzamam-ul-Haq,PAK,25,23,3,503,67,25.15,655,76.79,0,2,0,1996
GC Smith,SA,13,13,0,502,141,38.61,521,96.35,1,4,0,2009
JR Hopes,AUS,31,24,4,501,63*,25.05,574,87.28,0,1,0,2009
JA Rudolph,SA,17,15,3,500,81,41.66,771,64.85,0,3,0,2003
SK Raina,INDIA,26,22,4,500,81*,27.77,718,69.63,0,3,1,2006
V Sibanda,ZIM,15,15,1,500,116,35.71,738,67.75,1,3,1,2006
PD Collingwood,ENG,16,16,2,500,95,35.71,709,70.52,0,2,0,2010
